stat,loc,date,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0
n,Mores,2020-02-09,,,,,,128.0,3932.0,14561.0,33568.0,43062.0,64111.0,83099.0,112270.0,137289.0,163085.0,149695.0,131568.0,102654.0,48361.0,9522.0,907.0,
r,Mores,2020-02-09,,,,,,0.23171300846422946,0.08417735588797545,0.10750364572934613,0.08070991723550287,-0.05275563850026621,-0.019209516276212837,-0.030838486588293232,-0.027656752795237587,-0.013044077181780578,-0.015192566469607408,0.011490306064757387,0.018773796919015893,0.01394748783627989,0.014369232241349323,0.016623901142368,-0.03619107438519809,
rmse,Mores,2020-02-09,,,,,,0.5862788558006287,0.7112596035003662,0.8272183537483215,0.8430008292198181,0.9508609771728516,1.072000503540039,1.1436740159988403,1.2341316938400269,1.3034400939941406,1.3413243293762207,1.3405108451843262,1.3333120346069336,1.3513226509094238,1.394492268562317,1.4078274965286255,1.296329140663147,
n,Mores,2021-03-15,,,,,,128.0,3932.0,14561.0,33568.0,43062.0,64111.0,83099.0,112270.0,137289.0,163083.0,149694.0,131568.0,102653.0,48362.0,9521.0,907.0,
r,Mores,2021-03-15,,,,,,0.02611667897729228,0.11547202987260928,0.12025149251823536,0.12418040254025692,0.0685474222610321,0.099246363627909,0.10886735233037834,0.12324676041682255,0.11489796869578528,0.07740815710077638,0.06992689438422751,0.04275038919563687,0.008720830977723719,0.007554876508045661,-0.00585610340947261,0.05732630294357597,
rmse,Mores,2021-03-15,,,,,,1.1385616064071655,1.2350988388061523,1.293039083480835,1.3090903759002686,1.4100196361541748,1.5250763893127441,1.5559148788452148,1.579675316810608,1.5685758590698242,1.538833498954773,1.4397400617599487,1.3220276832580566,1.2176610231399536,1.16962468624115,1.0805426836013794,0.8583855032920837,
n,Banner,2020-02-18,,,116.0,2112.0,22782.0,65261.0,141831.0,270039.0,409826.0,653216.0,723552.0,723768.0,756842.0,682899.0,506378.0,387559.0,272612.0,208364.0,154539.0,86625.0,27837.0,5114.0
r,Banner,2020-02-18,,,-0.19678221711899643,-0.03691208997093891,-0.15814611346260338,-0.12047556874939269,-0.05335703835599627,-0.012529025692579514,0.02526841139633417,0.03402133927155443,0.044606488847101264,0.08641750677098346,0.1101617014008286,0.08636506110439798,0.10815722726574675,0.0873981090606453,0.06758209375421412,0.040957117862655476,0.02118199495615812,0.0016764906891169145,0.000679077469916779,0.01098601697232841
rmse,Banner,2020-02-18,,,1.277557373046875,0.971583366394043,0.7064432501792908,0.6078137755393982,0.5608181357383728,0.5687524080276489,0.5923973321914673,0.6105279326438904,0.6817532181739807,0.7500972151756287,0.7774429321289062,0.820012092590332,0.9531084299087524,1.0700628757476807,1.1207748651504517,1.1097270250320435,1.1289368867874146,1.1725245714187622,1.2249188423156738,1.391105055809021
n,Banner,2021-03-15,,,116.0,2112.0,22782.0,65261.0,141831.0,270039.0,409826.0,653217.0,723552.0,723771.0,756844.0,682897.0,506377.0,387559.0,272612.0,208358.0,154532.0,86620.0,27836.0,5114.0
r,Banner,2021-03-15,,,0.21869807506122899,0.145644150838647,0.24783883438125667,0.2840733624110315,0.24815484554226716,0.2151293276417259,0.1621311515572496,0.07568345213486848,0.05418413326335622,0.027884210231934027,-0.034455744381280885,-0.06553116439912146,0.006232844191680806,0.04677497750292099,0.05721912625823027,0.050906923599765896,0.02325681387673629,0.012807909166937954,-0.0023791085509587955,0.024826057475271324
rmse,Banner,2021-03-15,,,1.7920290231704712,1.4250357151031494,1.1556668281555176,1.1251801252365112,1.0941333770751953,1.0969994068145752,1.120400309562683,1.1352206468582153,1.1954976320266724,1.248292088508606,1.2409570217132568,1.24659264087677,1.3351404666900635,1.389472484588623,1.3675775527954102,1.249531865119934,1.127625584602356,1.0786319971084595,1.0851311683654785,1.2170977592468262
n,Dry_Creek,2020-02-19,,,,15.0,1536.0,7209.0,28402.0,72859.0,108790.0,129467.0,135730.0,127486.0,133250.0,147073.0,172526.0,163556.0,101928.0,33350.0,5954.0,1150.0,,
r,Dry_Creek,2020-02-19,,,,-0.01240189782962614,0.2815815724572198,0.2688050388134313,0.2119853030799873,0.2575630440810317,0.24590584796810883,0.22738088490991537,0.18927746454759492,0.19378984151244072,0.19656208401996114,0.2170610033155779,0.22146539354701655,0.20848601257167151,0.14509180038820207,0.11265153029788016,0.07551951086964154,0.00371104139738796,,
rmse,Dry_Creek,2020-02-19,,,,0.39189401268959045,0.6149029731750488,0.5808538198471069,0.4957720637321472,0.46329426765441895,0.438982218503952,0.42362532019615173,0.45417308807373047,0.47909989953041077,0.5047178864479065,0.5649235248565674,0.637462854385376,0.6465666890144348,0.7160762548446655,0.7931336760520935,0.8829302787780762,0.9002324938774109,,
