Flight 1 Date,Flight 2 Date,Headings,Unwrapped?
2021-01-15,2021-01-20,232,Y
2021-03-16,2021-03-22,052,Y
2021-03-16,2021-03-22,232,Y
2021-02-10,2021-03-03,232,N
2021-03-03,2021-03-10,052,Y
2020-01-31,2020-02-13,232,N
2021-02-03,2021-02-10,052,Y
2020-02-13,2020-02-21,232,Y
2021-02-03,2021-02-10,232,Y
2020-02-21,2020-03-11,232,Y
2019-12-20,2020-01-31,232,N
2021-01-20,2021-01-27,232,Y
2021-02-10,2021-03-03,052,Y
2021-01-27,2021-02-03,232,Y
2021-03-10,2021-03-16,232,Y
2021-03-03,2021-03-10,232,Y
2021-03-10,2021-03-16,052,Y
