stat,loc,date,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0
n,Banner,2020-02-18,4920082.0,511293.0,343043.0,195116.0,81142.0,31614.0,10388.0,2238.0,315.0,20.0,,,,
n,Banner,2021-03-15,4647094.0,499312.0,419426.0,239048.0,99059.0,38592.0,12955.0,2904.0,411.0,25.0,,,,
n,Dry_Creek,2020-02-19,1012886.0,85974.0,67139.0,70761.0,64651.0,42749.0,18030.0,4674.0,846.0,128.0,10.0,,,
n,Mores,2020-02-09,921277.0,58977.0,47168.0,35903.0,20926.0,8691.0,2512.0,524.0,68.0,13.0,,,,
n,Mores,2021-03-15,850435.0,62405.0,64166.0,51826.0,31237.0,13410.0,4003.0,846.0,137.0,27.0,,,,
r,Banner,2020-02-18,0.06972750450001097,0.10171061656590294,0.11764369907610443,0.1186609217131685,0.10335296422255914,0.06483813399180029,0.033290399630775805,-0.007694173098773404,0.049951795653810784,-0.0903921781113441,,,,
r,Banner,2021-03-15,0.15921959210481246,0.16274184486480414,0.20220746837177805,0.22784461047734506,0.21865373767241064,0.17375182147058255,0.12574058267796415,0.09129429128779899,0.2100220865535217,0.3406431426173907,,,,
r,Dry_Creek,2020-02-19,0.11232496550310062,0.18871808879501273,0.14180817589512285,0.10769225836592072,0.06775793778271455,0.04851472480602585,0.03920616248282436,-0.026549612676617047,-0.07112401145993237,-0.07143866292727752,-0.6199870936542167,,,
r,Mores,2020-02-09,0.08551341733439512,0.18139373257116975,0.19399324258213593,0.19562394992009874,0.1712808054063691,0.13483968410271896,0.1305848724789554,0.114016996386011,0.04663708271893399,-0.07335910819123762,,,,
r,Mores,2021-03-15,0.2710160952412295,0.2399096353118027,0.26713828611076346,0.31453920597661444,0.3329258366173102,0.3270357507677053,0.3061562779325404,0.2693871256371172,0.3621615374048625,0.4901125836870289,,,,
rmse,Banner,2020-02-18,0.8712846636772156,0.6066579818725586,0.5280360579490662,0.4696085751056671,0.4471549987792969,0.4267553389072418,0.4507898986339569,0.4258028566837311,0.3963279724121094,0.46324560046195984,,,,
rmse,Banner,2021-03-15,1.2893493175506592,1.0581116676330566,0.9684796929359436,0.8976390957832336,0.8214287757873535,0.7639119029045105,0.716827392578125,0.6812941431999207,0.6263628005981445,0.4205722510814667,,,,
rmse,Dry_Creek,2020-02-19,0.589818000793457,0.4637807309627533,0.44335952401161194,0.4369162917137146,0.44728168845176697,0.45630943775177,0.47177550196647644,0.48475462198257446,0.4981536865234375,0.46138495206832886,0.6268366575241089,,,
rmse,Mores,2020-02-09,1.3256770372390747,0.9956732988357544,0.8891079425811768,0.8211193084716797,0.7681541442871094,0.741925835609436,0.7166197896003723,0.7164192795753479,0.5833118557929993,0.5320220589637756,,,,
rmse,Mores,2021-03-15,1.5126460790634155,1.2942363023757935,1.2126870155334473,1.100217580795288,1.0040467977523804,0.9388959407806396,0.9116641879081726,0.9106138348579407,0.7761228680610657,0.5990919470787048,,,,
